#,URL Rating (desc),Referring Page URL,Referring Page Title,Internal Links Count,External Links Count,Link URL,Type,TextPre,Link Anchor,TextPost,HTTP Code,DP check,RP check,
111,17,https://www.iii.org/insuranceindustryblog/2011/05/,"May | 2011 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",290,96,https://community.broadcom.com/connect/blogs/facebook-applications-accidentally-leaking-access-third-parties,Dofollow,,"We estimate that as of April 2011, close to 100,000 applications were enabling this leakage. We estimate that over the years, hundreds of thousands of applications may have inadvertently leaked millions of access tokens to third parties.Ã¢â‚¬ ",,404,2020-03-18 01:00:56,2020-03-24T09:04:56Z,
111,17,https://www.iii.org/insuranceindustryblog/2011/05/,"May | 2011 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",290,96,https://www.osha.gov/Publications/3176-2002-English.html,Dofollow,,"Crystalline silica has been classified as a human lung carcinogen. Additionally, breathing crystalline silica dust can cause silicosis, which in severe cases can be disabling, or even fatal.”",,404,2020-03-14 22:52:22,2020-03-24T09:04:56Z,
112,17,https://www.iii.org/insuranceindustryblog/category/deepwater-horizon/,"Deepwater Horizon | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",269,90,http://www.oilspillcommission.gov/,Dofollow,", Transocean and Halliburton , are due to face",the National Oil Spill Commission,Ã¢â‚¬“ the presidential panel appointed to investigate the Deepwater Horizon,Cannot resolve host,2020-04-13 19:31:31,2020-03-28T23:26:54Z,
112,17,https://www.iii.org/insuranceindustryblog/category/deepwater-horizon/,"Deepwater Horizon | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",269,90,http://www.oilspillcommission.gov/meeting-5/meeting-details,Dofollow,presidential panel appointed to investigate the Deepwater Horizon disaster at,a hearing in Washington D.C. today,.,Cannot resolve host,2020-04-13 19:31:31,2020-03-28T23:26:54Z,
112,17,https://www.iii.org/insuranceindustryblog/category/deepwater-horizon/,"Deepwater Horizon | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",269,90,https://www.bp.com/sectiongenericarticle.do?categoryId=9034902&contentId=7064891,Dofollow,that the well design contributed to the incident. Check out,BPÃ¢â‚¬â„¢s report website,for further info.,404,2020-04-12 03:10:26,2020-03-28T23:26:54Z,
112,17,https://www.iii.org/insuranceindustryblog/category/deepwater-horizon/,"Deepwater Horizon | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",269,90,https://www.bloomberg.com/businessweek/news/2010-06-30/u-s-lucky-as-international-disasters-dwarfed-domestic-losses.html,Dofollow,,Ã¢â‚¬Å“More years than not itÃ¢â‚¬â„¢s the U.S. that has the greatest insured catastrophe loss. Global losses dwarfed U.S. losses this year.Ã¢â‚¬ ,,404,2020-04-10 20:37:13,2020-03-28T23:26:54Z,
112,17,https://www.iii.org/insuranceindustryblog/category/deepwater-horizon/,"Deepwater Horizon | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",269,90,https://www.deepwater.com/fw/main/Home-1.html,Dofollow,"Executives from BP ,",Transocean,"and Halliburton , are due to face the National Oil",404,2020-04-03 00:36:24,2020-03-28T23:26:54Z,
112,17,https://www.iii.org/insuranceindustryblog/category/deepwater-horizon/,"Deepwater Horizon | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",269,90,https://www.swissre.com/media/news_releases/Swiss_Res_new_sigma_study_reveals_that_natural_catastrophes_and_man-made_disasters_caused_economic_losses_of_USD_218_billion_and_cost_insurers_USD_43_billion.html,Dofollow,"tenth most costly insured catastrophe loss of 2010, according to",Swiss Re,.,404,2020-03-23 14:08:46,2020-03-28T23:26:54Z,
113,17,https://www.iii.org/insuranceindustryblog/2010/05/,"May | 2010 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",281,88,https://www.nicb.org/multimedia/staged-videos/staged-accident-videos,Dofollow,"demonstrating some of the most common types of staged accidents,",available here,. Check out further I.I.I. information on auto theft and,404,2020-04-15 23:12:01,2020-04-11T17:59:49Z,
113,17,https://www.iii.org/insuranceindustryblog/2010/05/,"May | 2010 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",281,88,https://www.epa.gov/emergencies/content/learning/oilfund.htm,Dofollow,OPA also created the national,Oil Spill Liability Trust Fund (OSLTF),", which can provide up to $1 billion for any",404,2020-04-06 01:39:23,2020-04-11T17:59:49Z,
113,17,https://www.iii.org/insuranceindustryblog/2010/05/,"May | 2010 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",281,88,https://earthjustice.org/news/press/2010/fishermen-and-conservationists-sue-u-s-department-of-interior-for-illegal-waivers-of-blowout-and-spill-response-planning-in-gulf-of-mexico-disaster.html,Dofollow,,This case is about lax regulation by the Minerals Management Service. It is actually easier to get a permit for an offshore oil well than for a hot dog stand.Ã¢â‚¬ ,,404,2020-03-17 16:34:10,2020-04-11T17:59:49Z,
114,17,https://www.iii.org/insuranceindustryblog/2017/11/,"November | 2017 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",263,41,https://www.swissre.com/media/news_releases/nr_20171121_pricing_non-life_re_insurance.html,Dofollow,Swiss Re Institute’s Global Insurance Review 2017 and Outlook 2018/2019,report,:,404,2020-04-14 01:01:23,2020-04-13T05:50:48Z,
115,17,https://www.iii.org/insuranceindustryblog/2012/12/,"December | 2012 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",268,38,https://www.swissre.com/media/news_releases/nr_20121219_sigma_natcat_estimates_2012.html,Dofollow,According to,Swiss Re sigma preliminary estimates,", insured losses arising from the catastrophic events of 2012",404,2020-04-10 18:24:19,2020-04-13T09:29:16Z,
116,17,https://www.iii.org/insuranceindustryblog/2015/05/,"May | 2015 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",288,60,https://gainesway.com/horses/tapit-240.html,Dofollow,by Mason Levinson tells the tale of American thoroughbred racehorse,Tapit,.,404,2020-04-19 01:04:05,2020-04-12T02:18:27Z,
116,17,https://www.iii.org/insuranceindustryblog/2015/05/,"May | 2015 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",288,60,https://www.aon.com/risk-services/thought-leadership/2015-global-cyber-impact-report.jsp,Dofollow,These are the striking findings of a,new Ponemon Institute survey sponsored by Aon,.,404,2020-04-04 23:46:38,2020-04-12T02:18:27Z,
116,17,https://www.iii.org/insuranceindustryblog/2015/05/,"May | 2015 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",288,60,https://www.naic.org/committees_c_catf.htm,Dofollow,other states are carefully studying the practice and awaiting a,white paper being developed,by a special task force established by the National Association,404,2020-04-03 00:47:31,2020-04-12T02:18:27Z,
117,17,https://www.iii.org/insuranceindustryblog/2007/04/,"April | 2007 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",272,42,https://www.floodsmart.gov/floodsmart/pages/index.jsp,Dofollow,"water, I for one, will be asking my agent about",flood insurance,at this yearÃ¢â‚¬â„¢s renewal. For more information see the I.I.I.Ã¢â‚¬â„¢s,404,2020-03-07 19:43:02,2020-03-24T13:02:20Z,
118,17,https://www.iii.org/services/directory/alternative-markets,Directory | III,98,11,http://www.agrip.org/,Dofollow,Web:,http://www.agrip.org,,404,2020-03-31 20:11:35,2020-04-13T16:12:05Z,
119,17,https://www.iii.org/insuranceindustryblog/2011/02/,"February | 2011 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",278,103,https://www.nera.com/83_7119.htm,Dofollow,"a way to benchmark D&O trends – Advisen , NERA",Economic Consulting,and Stanford Law School/Cornerstone Research . (We touched on NERA’s,404,2020-03-29 05:12:50,2020-04-08T03:05:17Z,
119,17,https://www.iii.org/insuranceindustryblog/2011/02/,"February | 2011 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",278,103,https://www.instituteforlegalreform.com/component/ilr_media/30/pressrelease/2011/527.html,Dofollow,,"Meanwhile, the president of the U.S. Chamber of Commerce said the ruling against Chevron “runs contrary to the fundamental rule of law.”",,404,2020-03-20 17:43:30,2020-04-08T03:05:17Z,
120,17,https://www.iii.org/insuranceindustryblog/2008/11/,"November | 2008 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",263,50,https://www.chubb.com/corporate/chubb8992.html,Dofollow,"obtaining access to credit, according to a survey conducted by",Chubb,"and the Women PresidentsÃ¢â‚¬â„¢ Organization (WPO) . However, the same",404,2020-04-19 08:24:59,2020-04-07T14:16:05Z,
120,17,https://www.iii.org/insuranceindustryblog/2008/11/,"November | 2008 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",263,50,https://newsroom.aaa.com/Main/Default2.asp?ArticlesPageSize=,Dofollow,"period, down 1.4 percent from last year, according to the",AAA,. This marks the first decline in Thanksgiving travel since,404,2020-04-08 11:59:07,2020-04-07T14:16:05Z,
120,17,https://www.iii.org/insuranceindustryblog/2008/11/,"November | 2008 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",263,50,https://www.genevaassociation.org/Home/Credit_Crisis.aspx,Dofollow,look no further than a new dedicated section on the,Geneva Association,"Web site. The online section includes articles, papers and background",404,2020-04-06 17:15:51,2020-04-07T14:16:05Z,
120,17,https://www.iii.org/insuranceindustryblog/2008/11/,"November | 2008 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",263,50,http://www.rcep.org.uk/novelmaterials.htm,Dofollow,of the emerging risks team. It highlights the findings of,a new report by the UKÃ¢â‚¬â„¢s Royal Commission,on the challenges and benefits arising from nanotechnology. The report,404,2020-03-29 09:22:36,2020-04-07T14:16:05Z,
121,17,https://www.iii.org/insuranceindustryblog/2008/12/,"December | 2008 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",261,52,http://www.atra.org/reports/hellholes/,Dofollow,are plentiful and one not to be missed is the,American Tort Reform AssociationÃ¢â‚¬â„¢s (ATRA) Judicial Hellholes 2008/2009 report,that names and shames some of the nationÃ¢â‚¬â„¢s most unfair,404,2020-04-17 10:30:03,2020-04-11T17:51:54Z,
121,17,https://www.iii.org/insuranceindustryblog/2008/12/,"December | 2008 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",261,52,http://www.namic.org/newsreleases08/081024nr1,Dofollow,the Property Casualty Insurers Association of America (PCI) and the,National Association of Mutual Insurance Companies (NAMIC),.Ã‚,404,2020-04-15 13:45:22,2020-04-11T17:51:54Z,
121,17,https://www.iii.org/insuranceindustryblog/2008/12/,"December | 2008 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",261,52,https://www.swissre.com/pws/media centre/news/news releases 2008/pr_sigma_20081218.html,Dofollow,fourth largest number of deaths since 1970. Initial estimates from,Swiss Re,also indicate that insurers paid out more than $50 billion,404,2020-04-08 17:53:14,2020-04-11T17:51:54Z,
121,17,https://www.iii.org/insuranceindustryblog/2008/12/,"December | 2008 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",261,52,http://www.iso.com/Press-Releases/2008/P/C-Industry-s-Net-Income-and-Profitability-Declined-in-First-Half-2008.html,Dofollow,The p/c industryÃ¢â‚¬â„¢s third quarter 2008 results released yesterday by,ISO,and the Property Casualty Insurers Association of America (PCI) indicate,404,2020-03-31 04:01:02,2020-04-11T17:51:54Z,
121,17,https://www.iii.org/insuranceindustryblog/2008/12/,"December | 2008 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",261,52,https://www.dandodiary.com/2008/12/articles/securities-litigation/nera-releases-yearend-securities-litigation-report/,Dofollow,More analysis of the NERA findings can be found at,The D&O Diary,", a blog focused on D&O liability issues.",404,2020-03-29 20:25:39,2020-04-11T17:51:54Z,
121,17,https://www.iii.org/insuranceindustryblog/2008/12/,"December | 2008 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",261,52,http://www.munichre.com/en/press/press_releases/2008/2008_12_29_press_release.aspx,Dofollow,catastrophes can have on insurers should take a look at,Munich ReÃ¢â‚¬â„¢s latest global catastrophe review,. The report indicates that despite a drop in the,404,2020-03-14 19:38:50,2020-04-11T17:51:54Z,
122,17,https://www.iii.org/insuranceindustryblog/2016/05/,"May | 2016 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",274,66,https://www.swissre.com/media/news_releases/Swiss_Res_new_SONAR_report_explores_top_emerging_risks_for_the_reinsurance_industry_and_society.html,Dofollow,"entity, but that could all change, according to an annual",emerging risk report,from Swiss Re.,404,2020-03-18 13:15:07,2020-04-13T01:55:20Z,
123,17,https://www.iii.org/insuranceindustryblog/2007/10/,"October | 2007 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",259,33,https://www.allianz.com/en/index.html,Dofollow,trends is shifting demographic patterns. A media roundtable hosted by,Allianz,next Tuesday in,404,2020-04-19 03:49:05,2020-04-11T11:18:59Z,
124,17,https://www.iii.org/insuranceindustryblog/2009/01/,"January | 2009 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",262,40,http://www.iso.com/Press-Releases/2009/Insurers-to-Pay-$25.2-Billion-in-2008-Catastrophe-Claims-Says-ISOs-Property-Claim-Services-Unit.html,Dofollow,,ISOÃ¢â‚¬â„¢s Property Claim Services (PCS) unit,yesterday reported that U.S. property/casualty insurers are expected to pay,404,2020-04-18 05:45:19,2020-04-09T17:22:23Z,
124,17,https://www.iii.org/insuranceindustryblog/2009/01/,"January | 2009 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",262,40,https://www.asce.org/reportcard/2009/index.html,Dofollow,over the next five years to meet adequate conditions. The,2009 Report Card for AmericaÃ¢â‚¬â„¢s Infrastructure,"shows that since ASCEÃ¢â‚¬â„¢s last assessment in 2005, there has",404,2020-04-10 07:43:20,2020-04-09T17:22:23Z,
124,17,https://www.iii.org/insuranceindustryblog/2009/01/,"January | 2009 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",262,40,https://www.asce.org/asce.cfm,Dofollow,The,American Society of Civil Engineers (ASCE),has assigned a grade of D to the nationÃ¢â‚¬â„¢s infrastructure,404,2020-04-03 00:17:18,2020-04-09T17:22:23Z,
124,17,https://www.iii.org/insuranceindustryblog/2009/01/,"January | 2009 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",262,40,https://www.aon.com/risk-services/political-risk-map/index.html,Dofollow,"Iceland and Greece serve as early warnings, according to the",16th annual Political Risk Map produced by Aon,. In its ranking of the political risk of 209,404,2020-03-25 11:20:58,2020-04-09T17:22:23Z,
124,17,https://www.iii.org/insuranceindustryblog/2009/01/,"January | 2009 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",262,40,https://www.ciab.com/Template.cfm?Section=News_Releases2&Template=/ContentManagement/ContentDisplay.cfm&ContentID=9253,Dofollow,in the fourth quarter of 2008. According to the latest,Council of Insurance Agents & BrokersÃ¢â‚¬â„¢ (CIAB) Commercial P/C Market Index survey,", while still a competitive market insurers were trying to",404,2020-03-24 10:00:51,2020-04-09T17:22:23Z,
125,17,https://www.iii.org/insuranceindustryblog/2010/02/,"February | 2010 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",280,65,https://www.dig-in.com/vwc/National_Flood_Insurance_Program_property_casualty_insurance-24217-1.html,Dofollow,,Insurance Networking News reports,that another reprieve for the National Flood Insurance Program (NFIP),404,2020-04-15 16:06:24,2020-04-10T06:53:17Z,
125,17,https://www.iii.org/insuranceindustryblog/2010/02/,"February | 2010 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",280,65,http://www.healthreform.gov/reports/insuranceprospers/insuranceprofits.pdf,Dofollow,Health and human services secretary Kathleen Sebelius last Thursday issued,a report,"sharply critical of the double-digit increases sought by insurers. However,",Cannot resolve host,2020-04-13 11:08:58,2020-04-10T06:53:17Z,
125,17,https://www.iii.org/insuranceindustryblog/2010/02/,"February | 2010 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",280,65,http://www.netwitness.com/resources/pressreleases/feb182010.aspx,Dofollow,in a February 18 Wall Street Journal article security firm,NetWitness,says that the hacking operation is still running and it,404,2020-04-05 12:11:31,2020-04-10T06:53:17Z,
125,17,https://www.iii.org/insuranceindustryblog/2010/02/,"February | 2010 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",280,65,https://www.joepaduda.com/archives/001747.html,Dofollow,"those most at risk buy coverage) and mandatory coverage. Meanwhile,",over at Managed Care Matters blog Joe Paduda has a timely post,on why the focus on health insurer rate increases may,404,2020-03-27 21:02:35,2020-04-10T06:53:17Z,
126,17,https://www.iii.org/insuranceindustryblog/2013/07/,"July | 2013 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",293,65,http://www.munichre.com/en/media_relations/press_releases/2013/2013_07_09_press_release.aspx,Dofollow,,"Around 47 percentÃ‚ of the overall losses and 45Ã‚ percentÃ‚ of the insured losses derived from inland flooding that occurred in Europe, Canada, Asia and Australia.Ã¢â‚¬ ",,404,2020-03-17 22:05:04,2020-04-11T09:01:20Z,
126,17,https://www.iii.org/insuranceindustryblog/2013/07/,"July | 2013 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",293,65,https://www.nhregister.com/articles/2013/07/01/news/doc51d1e81a19478786975116.txt,Dofollow,,An EF-1 tornado is also confirmed to have touched down in Connecticut,"yesterday, causing property damage.",404,2020-03-11 15:36:02,2020-04-11T09:01:20Z,
127,17,https://www.iii.org/insuranceindustryblog/2014/01/,"January | 2014 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",290,58,http://www.munichre.com/en/media_relations/press_releases/2014/2014_01_07_press_release.aspx,Dofollow,"two were U.S. events, though neither ranked first or second,",according to Munich Re,.,404,2020-04-13 03:26:55,2020-04-18T09:41:00Z,
127,17,https://www.iii.org/insuranceindustryblog/2014/01/,"January | 2014 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",290,58,https://www.kyforward.com/2014/01/keven-moore-on-insurance-super-bowl-gets-good-coverage-insurance-that-is/,Dofollow,"For more on Super Bowl risks, check out","this post at KYForward.com by Kevin Moore, director of Risk Management Services for Roeding Insurance",.,404,2020-03-19 13:08:47,2020-04-18T09:41:00Z,
128,17,https://www.iii.org/insuranceindustryblog/2016/03/,"March | 2016 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",277,40,https://www.swissre.com/media/news_releases/Global_insured_losses_from_disasters_reach_USD_37_billion_in_2015.html,Dofollow,,"“The event shows the large loss potential in a country like China, with a fast-growing economy. If further evidence is needed, in 2013 a fire at a major high-tech semiconductor plant in Wuxi, also in China, caused insured losses of USD 0.9 billion.”",,404,2020-04-11 12:04:45,2020-04-18T17:43:39Z,
129,17,https://www.iii.org/insuranceindustryblog/2017/05/,"May | 2017 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",281,40,https://disastersafety.org/hail/ibhs-hail-field-studies/,Dofollow,"Insurance Institute for Business and Home Safety (IBHS), is continuing",a major multi-year research study,into hailstorms. IBHS resources on preventing property losses are available here,404,2020-04-13 21:45:55,2020-04-15T19:26:45Z,
129,17,https://www.iii.org/insuranceindustryblog/2017/05/,"May | 2017 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",281,40,https://www.poolre.co.uk/recent-events-manchester/,Dofollow,,“Pool Re will work with its Members in resolving any claim arising from the attack as quickly as possible. We will make a further statement as more information becomes available.”,,404,2020-04-12 19:36:18,2020-04-15T19:26:45Z,
129,17,https://www.iii.org/insuranceindustryblog/2017/05/,"May | 2017 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",281,40,https://www.poolre.co.uk/what-we-do/,Dofollow,Here’s,how the Pool Re scheme works,:,404,2020-03-24 10:24:25,2020-04-15T19:26:45Z,
129,17,https://www.iii.org/insuranceindustryblog/2017/05/,"May | 2017 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",281,40,https://www.poolre.co.uk/who-we-are/about-pool-re/,Dofollow,UK (including many overseas companies and Lloyd’s syndicates) participate in,Pool Re,.,404,2020-03-19 18:56:16,2020-04-15T19:26:45Z,
130,17,https://www.iii.org/insuranceindustryblog/2007/11/,"November | 2007 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",257,43,https://www.iihs.org/news/rss/pr111507.html,Dofollow,in auto insurance premiums. Awards announced this week by the,Insurance Institute for Highway Safety (IIHS),confirm a continuing trend of safer vehicle designs. A total,404,2020-04-08 19:19:50,2020-04-01T01:37:53Z,
131,17,https://www.iii.org/insuranceindustryblog/2017/02/,"February | 2017 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",274,53,https://www.swissre.com/global_partnerships/insurance_payout_helps_herders_save_drought_stricken_livestock_in_kenya.html,Dofollow,"the government of Kenya and reinsured by Swiss Re, just",announced the payout,which averages around $170 per household and will be made,404,2020-04-11 12:16:21,2020-03-30T04:07:35Z,
131,17,https://www.iii.org/insuranceindustryblog/2017/02/,"February | 2017 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",274,53,https://paymaster.co/with-more-than-365-networking-events-per-year-office-space-on-demand-and-corporate-introductions-plug-and-play-created-the-ultimate-startup-ecosystem/,Dofollow,This,post,by the I.I.I. Insuring California blog talks about how Silicon Valley’s,404,2020-03-16 00:57:20,2020-03-30T04:07:35Z,
132,17,https://www.iii.org/insuranceindustryblog/2008/10/,"October | 2008 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",266,50,http://www.munichre.com/en/press/press_releases/2008/2008_10_27_press_release.aspx,Dofollow,"price of reinsurance. In a press release issued at Baden-Baden,",Munich Re,noted that since Monte Carlo the worldÃ¢â‚¬â„¢s 10 biggest insurers,404,2020-04-16 06:19:07,2020-04-03T00:10:57Z,
132,17,https://www.iii.org/insuranceindustryblog/2008/10/,"October | 2008 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",266,50,http://www.takeawaytheworry.com/,Dofollow,Insurance has launched a new Web site for women called,Take Away the Worry,. The site recognizes womenÃ¢â‚¬â„¢s growing influence in financial matters.,Cannot resolve host,2020-04-03 00:10:58,2020-04-03T00:10:57Z,
132,17,https://www.iii.org/insuranceindustryblog/2008/10/,"October | 2008 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",266,50,https://www.iihs.org/news/rss/pr103008.html,Dofollow,indicate rising levels of insurance claims for animal collisions. The,Highway Loss Data Institute (HLDI) and its affiliate the Insurance Institute for Highway Safety (IIHS),also report that while most vehicle-animal collisions arenÃ¢â‚¬â„¢t severe enough,404,2020-03-31 19:26:46,2020-04-03T00:10:57Z,
133,17,https://www.iii.org/insuranceindustryblog/2015/12/,"December | 2015 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",289,35,https://www.swissre.com/media/news_releases/Preliminary_sigma_estimates_for_2015.html,Dofollow,,Preliminary estimates from Swiss Re sigma,put insured losses from disaster events at $32 billion in,404,2020-03-23 09:48:46,2020-04-17T23:29:35Z,
134,17,https://www.iii.org/insuranceindustryblog/2012/10/,"October | 2012 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",283,52,http://www.iso.com/Press-Releases/2012/P-C-Insurers-Profits-and-Profitability-Surged-in-First-Half-2012.html,Dofollow,The industryÃ¢â‚¬â„¢s results were released by,ISO,and the Property Casualty Insurers Association of America (PCI) .,404,2020-03-23 06:49:11,2020-04-14T14:21:34Z,
135,17,https://www.iii.org/insuranceindustryblog/2008/06/,"June | 2008 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",262,26,"https://www.metlife.com/Applications/Corporate/WPS/CDA/PageGenerator/0,4773,P250^S1095,00/",Dofollow,amount of pre-retirement income theyÃ¢â‚¬â„¢ll need once they retire. The,MetLife 2008 Retirement Income IQ Test,also reveals that almost seven in 10 (69 percent) pre-retirees,404,2020-03-20 13:02:40,2020-04-15T22:11:37Z,
136,17,https://www.iii.org/insuranceindustryblog/2013/05/,"May | 2013 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",280,53,http://www.munichre.com/en/media_relations/press_releases/2013/2013_05_16_press_release.aspx,Dofollow,,"Approximately half of all the additional premium earned between 2013 and 2020 will come from the USA, China and Japan. In this respect, saturated markets and emerging markets both represent great potential for growth in insurance and reinsurance alike.Ã¢â‚¬ ",,404,2020-04-02 11:36:48,2020-04-16T09:45:25Z,
136,17,https://www.iii.org/insuranceindustryblog/2013/05/,"May | 2013 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",280,53,http://www.multivu.com/mnr/61483-floodsmart-hurricane-season-is-just-one-month-away-flood-insurance,Dofollow,,"While coastal states have an increased risk of flooding during hurricane season, it is important to note that flood risks extend far beyond those areas. Some of the most severe flooding has occurred when the remnants of a hurricane or tropical storm system traveled inland, such as Hurricane Irene two years ago, producing heavy rainfall hundreds of miles from the coast. For this reason, it is ...",,404,2020-03-29 03:33:02,2020-04-16T09:45:25Z,
136,17,https://www.iii.org/insuranceindustryblog/2013/05/,"May | 2013 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",280,53,https://www.jdpower.com/business/content/press-release/mmrmbif/2013-u-s-insurance-shopping-study.htm,Dofollow,,"Unlike many other industries we measure, policy retention rates for personal auto insurance in the U.S. market average 90 percent. With customer satisfaction generally high and climbing, this industry has witnessed fewer customers shopping, but those who are shopping are serious about switching insurers.Ã¢â‚¬ ",,404,2020-03-28 14:29:36,2020-04-16T09:45:25Z,
136,17,https://www.iii.org/insuranceindustryblog/2013/05/,"May | 2013 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",280,53,https://www.canadianunderwriter.ca/news/companies-dont-have-adequate-mitigation-plans-for-natural-catastrophes-survey/1002288997/,Dofollow,,Canadian Underwriter,has more on this story.,404,2020-03-28 07:01:55,2020-04-16T09:45:25Z,
136,17,https://www.iii.org/insuranceindustryblog/2013/05/,"May | 2013 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",280,53,https://www.zurich.com/media/newsreleases/2013/2013-0507-01.htm,Dofollow,"the risks of natural catastrophes are adequately controlled, according to",a global survey by Zurich Insurance Group,.,404,2020-03-21 17:06:23,2020-04-16T09:45:25Z,
137,17,https://www.iii.org/insuranceindustryblog/2007/07/,"July | 2007 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",266,31,https://www.house.gov/apps/list/hearing/financialsvcs_dem/press0717072pm.shtml,Dofollow,focus of a hearing on Capitol Hill tomorrow before the,House Financial Services Subcommittee on Housing and Community Opportunity,. Otherwise known as the Multiple Peril Insurance Act of,404,2020-03-31 15:32:08,2020-04-17T17:50:45Z,
137,17,https://www.iii.org/insuranceindustryblog/2007/07/,"July | 2007 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",266,31,https://gcportal.guycarp.com/portal/extranet/popup/press/PDF/2007/London Flood 072307.pdf?vid=2,Dofollow,"manage accumulation risk. With that in mind, we note that",Guy Carpenter,has announced the development of a new,404,2020-03-16 21:10:50,2020-04-17T17:50:45Z,
138,17,https://www.iii.org/insuranceindustryblog/2011/03/,"March | 2011 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",273,83,http://mdn.mainichi.jp/mdnnews/business/news/20110315p2g00m0bu014000c.html,Dofollow,insurance analyst Barrie Cornes). Mainichi (Japan) Daily News gives a,roundup,.,Cannot resolve host,2020-04-13 08:30:21,2020-04-08T13:09:46Z,
138,17,https://www.iii.org/insuranceindustryblog/2011/03/,"March | 2011 | The trusted source of unique, data-driven insights on insurance to inform and empower consumers.",273,83,http://www.iso.com/Research-and-Analyses/Studies-and-Whitepapers/A-Half-Century-of-Hurricane-Experience-Mitigating-Hurricane-Losses.html,Dofollow,"system got its start after Hurricane Andrew in 1992, when",it became clear,that Miami’s vaunted hurricane codes were spottily enforced. Buildings in,404,2020-03-23 00:32:30,2020-04-08T13:09:46Z,
